extracted_lesson,avg_similarity,lesson_accuracy,recipe_count
11,0.968,0.0,2
12,0.978,0.0,5
16,0.988,0.0,9
17,0.987,0.0,3
18,1.0,0.0,4
20,1.0,0.0,3
22,0.96,0.0,5
23,0.989,0.0,6
24,0.99,0.0,12
25,0.989,0.0,2
26,1.0,0.0,2
28,1.0,0.0,2
29,1.0,0.0,3
30,1.0,0.0,1
31,1.0,0.0,2
34,1.0,0.0,12
35,1.0,0.0,8
36,0.996,0.0,5
37,1.0,0.0,1
38,1.0,0.0,7
40,1.0,0.0,7
42,1.0,0.0,7
43,1.0,0.0,3
44,0.995,0.0,13
45,1.0,0.0,5
47,1.0,0.0,9
50,1.0,0.0,2
55,1.0,0.0,2
57,0.988,0.0,5
58,0.988,0.0,5
60,1.0,0.0,12
62,1.0,0.0,1
64,0.987,0.0,10
65,1.0,0.0,4
66,1.0,0.0,7
67,1.0,0.0,3
71,0.996,0.0,7
72,0.993,0.0,11
73,1.0,0.0,10
74,1.0,0.0,5
75,1.0,0.0,3
76,0.991,0.0,7
77,1.0,0.0,8
79,1.0,0.0,6
793,0.984,0.0,8
84,0.978,0.0,8
85,0.919,0.0,1
88,1.0,0.0,2
